species;genus;family;order;class;phylum;kingdom
Bassus calcaratus;Bassus;Braconidae;Hymenoptera;Insecta;Arthropoda;Animalia
Basutoia brachyptera;Basutoia;Cicadellidae;Hemiptera;Insecta;Arthropoda;Animalia
Bathornis celeripes;Bathornis;Bathornithidae;Dinosauria;Reptilia;Chordata;Animalia
Bathyceradocus iberiensis;Bathyceradocus;Maeridae;Amphipoda;Malacostraca;Arthropoda;Animalia
Bathymedon nanseni;Bathymedon;Oedicerotidae;Amphipoda;Malacostraca;Arthropoda;Animalia
Bathyporeiapus magellanicus;Bathyporeiapus;Exoedicerotidae;Amphipoda;Malacostraca;Arthropoda;Animalia
Baylisascaris tasmaniensis;Baylisascaris;Ascarididae;Ascaridida;Secernentea;Nematoda;Animalia
Bebryce crucifera;Bebryce;Plexauridae;Alcyonacea;Anthozoa;Cnidaria;Animalia
Beilschmiedia tungfangensis;Beilschmiedia;Lauraceae;Laurales;Magnoliopsida;Tracheophyta;Plantae
Belba rossica;Belba;Damaeidae;Sarcoptiformes;Arachnida;Arthropoda;Animalia
Benthogone fragilis;Benthogone;Laetmogonidae;Elasipodida;Holothuroidea;Echinodermata;Animalia
